mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.0188515186309814,0.29196223455747006,0.037188053131103516,0.012491380045830142,0.03,2,100,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100}",-0.6814105706482466,-0.6918652500322738,-0.6823942105412902,-0.6852233437406036,0.004713673461345804,17
4.418230772018433,0.6788548196562891,0.030858755111694336,0.0029016289626898305,0.03,2,200,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 200}",-0.6602415255758184,-0.6663015927525464,-0.6668434600785736,-0.6644621928023128,0.0029926497653815195,1
3.2879409790039062,0.6162769779889313,0.030071179072062176,0.004055186473591581,0.03,3,100,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100}",-0.6732461490468911,-0.6822602140076119,-0.6734428273054663,-0.6763163967866564,0.004203680367760642,14
6.421870390574138,1.161833887760534,0.040398200352986656,0.008160391053184014,0.03,3,200,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200}",-0.6610141521867556,-0.6673617343132181,-0.6675784381927304,-0.6653181082309013,0.0030446421098166343,4
3.8805275758107505,0.36025110840906194,0.08392548561096191,0.07194888331118057,0.03,4,100,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 100}",-0.6752130774144689,-0.6836037167000845,-0.6744290370854835,-0.6777486104000122,0.004152539957522182,16
8.431929270426432,0.9534448367399048,0.08468540509541829,0.07116368534745583,0.03,4,200,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 200}",-0.6660609008781291,-0.6710427826202505,-0.6699164165527317,-0.6690067000170371,0.002133147057691661,11
2.341724713643392,0.2658688892704349,0.026860396067301433,0.002757894697948475,0.05,2,100,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",-0.6608142680614358,-0.6671093699962864,-0.6672480169262749,-0.6650572183279991,0.0030007527906838623,3
3.9686831633249917,0.5017930357724043,0.028884410858154297,0.0027416657394092243,0.05,2,200,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",-0.6605875295112889,-0.667272791937808,-0.6667741001714812,-0.6648781405401927,0.003040743398191071,2
3.3153953552246094,0.3888123392992898,0.046111106872558594,0.011872657529298256,0.05,3,100,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}",-0.6611170023751118,-0.6675891202982732,-0.6675272975262306,-0.6654111400665386,0.003036518774132037,5
7.446011066436768,1.4284008835817785,0.11432186762491862,0.06206478755721535,0.05,3,200,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",-0.6636276395463909,-0.6700144670124879,-0.6687175618487237,-0.6674532228025342,0.002756423550933615,7
4.853675842285156,0.8865637721393086,0.04300602277119955,0.004611464267575333,0.05,4,100,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100}",-0.663979920584515,-0.6717260749065159,-0.669489376310499,-0.6683984572671765,0.003255078592433235,9
9.4961789449056,0.12978974569130214,0.06646331151326497,0.012875052352027424,0.05,4,200,"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200}",-0.6694348685828283,-0.6758613821817292,-0.6721398278174269,-0.6724786928606615,0.002634532393342864,12
2.785940329233805,0.42655553531973767,0.023960351943969727,0.002402022501748408,0.1,2,100,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",-0.6615787979294145,-0.6666855612291234,-0.6679759602924223,-0.6654134398169868,0.002762202169777252,6
5.237822612126668,0.3970135540052407,0.055756727854410805,0.017818318581296053,0.1,2,200,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",-0.6645512886316902,-0.6708847224647356,-0.6707871102592253,-0.6687410404518838,0.0029628699230956515,10
3.3892099857330322,0.4394285027701319,0.040887912114461265,0.006303144157806391,0.1,3,100,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",-0.6657414101630483,-0.6693072998979598,-0.6685787400388823,-0.6678758166999635,0.001538282227179462,8
7.215386311213176,0.44526899318918783,0.03258228302001953,0.003090252906955052,0.1,3,200,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",-0.6756383416993591,-0.6791190342284287,-0.6746046269583682,-0.676454000962052,0.0019311383990807504,15
4.813425540924072,0.8377597662143896,0.031103054682413738,0.0015521041238889695,0.1,4,100,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100}",-0.670999963118356,-0.6772191372889528,-0.6719869209038583,-0.6734020071037223,0.0027290271228454224,13
6.361600557963054,0.8792533725692618,0.020235061645507812,0.0041472245778730165,0.1,4,200,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200}",-0.6868227569218149,-0.692856777607489,-0.6853145143323061,-0.6883313496205367,0.0032586625861970465,18
